Date : 2024-07-31 07:53:45
Directory : /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src
Total : 70 files,  2876 codes, 15 comments, 281 blanks, all 3172 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         27 |      1,907 |          0 |        218 |      2,125 |
| JavaScript     |         26 |        423 |         15 |         16 |        454 |
| JSON           |          1 |        298 |          0 |          0 |        298 |
| CSS            |         15 |        247 |          0 |         47 |        294 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         70 |      2,876 |         15 |        281 |      3,172 |
| . (Files)                                                                                                |          9 |        401 |          7 |         20 |        428 |
| ..                                                                                                       |         12 |       -575 |        -10 |        -74 |       -659 |
| ../..                                                                                                    |         12 |       -575 |        -10 |        -74 |       -659 |
| ../../backend                                                                                            |         12 |       -575 |        -10 |        -74 |       -659 |
| ../../backend/src                                                                                        |         12 |       -575 |        -10 |        -74 |       -659 |
| ../../backend/src (Files)                                                                                |          1 |        -18 |         -2 |         -8 |        -28 |
| ../../backend/src/controllers                                                                            |          3 |       -338 |         -8 |        -23 |       -369 |
| ../../backend/src/database                                                                               |          1 |        -11 |          0 |         -3 |        -14 |
| ../../backend/src/middleware                                                                             |          1 |        -31 |          0 |         -4 |        -35 |
| ../../backend/src/models                                                                                 |          3 |       -118 |          0 |        -11 |       -129 |
| ../../backend/src/routes                                                                                 |          3 |        -59 |          0 |        -25 |        -84 |
| app                                                                                                      |          1 |         13 |          0 |          3 |         16 |
| components                                                                                               |         27 |      1,389 |          0 |        163 |      1,552 |
| components/AddEditBlogModal                                                                              |          1 |        297 |          0 |         19 |        316 |
| components/AddEditCategoryModal                                                                          |          1 |        150 |          0 |         15 |        165 |
| components/BlogGrid                                                                                      |          2 |         92 |          0 |         21 |        113 |
| components/BlogItem                                                                                      |          2 |        115 |          0 |         18 |        133 |
| components/BlogItemText                                                                                  |          2 |         46 |          0 |          7 |         53 |
| components/BlogList                                                                                      |          2 |         44 |          0 |         10 |         54 |
| components/Categories                                                                                    |          2 |         46 |          0 |          6 |         52 |
| components/CategoriesList                                                                                |          2 |         90 |          0 |          8 |         98 |
| components/CategoriesScrollList                                                                          |          1 |         34 |          0 |          3 |         37 |
| components/DeleteBlogModal                                                                               |          1 |         89 |          0 |         14 |        103 |
| components/DeleteCategoryModal                                                                           |          1 |         83 |          0 |         10 |         93 |
| components/EditButtons                                                                                   |          1 |         55 |          0 |          4 |         59 |
| components/ErrorToast                                                                                    |          1 |         48 |          0 |          5 |         53 |
| components/Footer                                                                                        |          1 |         28 |          0 |          2 |         30 |
| components/Heading                                                                                       |          2 |         13 |          0 |          4 |         17 |
| components/Loader                                                                                        |          1 |         10 |          0 |          2 |         12 |
| components/Navbar                                                                                        |          1 |         86 |          0 |          6 |         92 |
| components/Subheading                                                                                    |          2 |         15 |          0 |          5 |         20 |
| components/SuccessToast                                                                                  |          1 |         48 |          0 |          4 |         52 |
| features                                                                                                 |          4 |        562 |         17 |         36 |        615 |
| hooks                                                                                                    |          2 |         77 |          1 |         18 |         96 |
| pages                                                                                                    |         12 |        700 |          0 |         90 |        790 |
| pages/Blog                                                                                               |          2 |        107 |          0 |         13 |        120 |
| pages/Blogs                                                                                              |          2 |        101 |          0 |         16 |        117 |
| pages/Categories                                                                                         |          2 |         85 |          0 |         12 |         97 |
| pages/Home                                                                                               |          1 |         72 |          0 |         10 |         82 |
| pages/Login                                                                                              |          2 |        109 |          0 |         15 |        124 |
| pages/Profile                                                                                            |          1 |         82 |          0 |         12 |         94 |
| pages/Register                                                                                           |          2 |        144 |          0 |         12 |        156 |
| services                                                                                                 |          3 |        309 |          0 |         25 |        334 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                 | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/controllers/authController.js              | JavaScript     |       -112 |         -8 |         -8 |       -128 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/controllers/blogController.js              | JavaScript     |       -159 |          0 |         -9 |       -168 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/controllers/categoryController.js          | JavaScript     |        -67 |          0 |         -6 |        -73 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/database/db.js                             | JavaScript     |        -11 |          0 |         -3 |        -14 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/index.js                                   | JavaScript     |        -18 |         -2 |         -8 |        -28 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/middleware/authMiddleware.js               | JavaScript     |        -31 |          0 |         -4 |        -35 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/models/Blog.js                             | JavaScript     |        -60 |          0 |         -4 |        -64 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/models/Category.js                         | JavaScript     |        -24 |          0 |         -4 |        -28 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/models/User.js                             | JavaScript     |        -34 |          0 |         -3 |        -37 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/routes/auth.js                             | JavaScript     |        -16 |          0 |         -7 |        -23 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/routes/blogs.js                            | JavaScript     |        -26 |          0 |        -10 |        -36 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/backend/src/routes/categories.js                       | JavaScript     |        -17 |          0 |         -8 |        -25 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/App.css                                   | CSS            |          0 |          0 |          1 |          1 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/App.jsx                                   | JavaScript JSX |         53 |          0 |          9 |         62 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/App.test.js                               | JavaScript     |          7 |          0 |          2 |          9 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/app/store.js                              | JavaScript     |         13 |          0 |          3 |         16 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/AddEditBlogModal/index.jsx     | JavaScript JSX |        297 |          0 |         19 |        316 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/AddEditCategoryModal/index.jsx | JavaScript JSX |        150 |          0 |         15 |        165 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogGrid/index.css             | CSS            |         52 |          0 |         12 |         64 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogGrid/index.jsx             | JavaScript JSX |         40 |          0 |          9 |         49 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogItem/index.css             | CSS            |         53 |          0 |         11 |         64 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogItem/index.jsx             | JavaScript JSX |         62 |          0 |          7 |         69 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogItemText/index.css         | CSS            |         12 |          0 |          2 |         14 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogItemText/index.jsx         | JavaScript JSX |         34 |          0 |          5 |         39 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogList/index.css             | CSS            |         10 |          0 |          2 |         12 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/BlogList/index.jsx             | JavaScript JSX |         34 |          0 |          8 |         42 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Categories/index.css           | CSS            |          9 |          0 |          1 |         10 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/Categories/index.jsx           | JavaScript JSX |         37 |          0 |          5 |         42 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/CategoriesList/index.css       | CSS            |         22 |          0 |          4 |         26 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/CategoriesList/index.jsx       | JavaScript JSX |         68 |          0 |          4 |         72 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/CategoriesScrollList/index.jsx | JavaScript JSX |         34 |          0 |          3 |         37 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/DeleteBlogModal/index.jsx      | JavaScript JSX |         89 |          0 |         14 |        103 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/components/DeleteCategoryModal/index.jsx  | JavaScript JSX |         83 |          0 |         10 |         93 |
